,,,,,,,,,,,,2010 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Overall Place,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,
1,1ST UNLIMITED,314,"STEPHENS, ANDREW",9:00, ,11:12:00, ,14:08:00, ,15:02:00, ,17:00:00, ,20:27:00, ,0:48:00, ,3:48:00, ,5:32:00, ,10:01:00, ,14:06:00, ,16:47:00, ,19:40:00
,,,"CRUZ, AMADO",,1,2:12:00,1,2:56:00,1,0:54:00,1,1:58:00,1,3:27:00,1,4:21:00,1,3:00:00,1,1:44:00,1,4:29:00,1,4:05:00,5,2:41:00,1,2:53:00
,,,"CRUZ, DANIEL",,1,2:12:00,1,5:08:00,1,6:02:00,1,8:00:00,1,11:27:00,1,15:48:00,1,18:48:00,1,20:32:00,1,25:01:00,1,29:06:00,1,31:47:00,1,34:40:00
,,,"SOLES, ANDREW",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"RITCHIE, SAM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"CRUZ, EFRAIN",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - RUSSELL, WILLIAM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2ND UNLIMITED,80,"GLOCK, JEFF",9:00, ,11:13:00, ,14:10:00, ,15:04:00, ,17:02:00, ,20:34:00, ,1:10:00, ,4:24:00, ,6:10:00, ,10:47:00, ,14:57:00, ,17:20:00, ,20:23:00
,,,"MYNAR, FRED",,2,2:13:00,2,2:57:00,1,0:54:00,1,1:58:00,2,3:32:00,2,4:36:00,2,3:14:00,2,1:46:00,2,4:37:00,2,4:10:00,1,2:23:00,2,3:03:00
,,,"STEWART, CHUCK",,2,2:13:00,2,5:10:00,2,6:04:00,2,8:02:00,2,11:34:00,2,16:10:00,2,19:24:00,2,21:10:00,2,25:47:00,2,29:57:00,2,32:20:00,2,35:23:00
,,,"COCHRAN, JERRY",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MYNAR, BRIAN",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"BINION, WADE",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - PETRISKY, PAT",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1ST TANDEM,3,"YONLEY, TOMMY",9:00, ,11:22:00, ,14:29:00, ,15:25:00, ,17:32:00, ,21:15:00, ,2:13:00, ,5:40:00, ,7:34:00, ,12:55:00, ,17:31:00, ,20:04:00, ,23:11:00
,,,"RASK, TIM",,3,2:22:00,3,3:07:00,3,0:56:00,4,2:07:00,3,3:43:00,5,4:58:00,3,3:27:00,5,1:54:00,5,5:21:00,5,4:36:00,4,2:33:00,3,3:07:00
,,,"TC - SOUTHARD, JACOB",,3,2:22:00,3,5:29:00,3,6:25:00,3,8:32:00,3,12:15:00,3,17:13:00,3,20:40:00,3,22:34:00,4,27:55:00,4,32:31:00,4,35:04:00,3,38:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
