,,,,,,,,,,2011 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Overall Place,Special Recognition,Boat #,Team Members,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,
1,1st Unlimited,314,"Cruz, Amado",9:00, ,11:17:00, ,14:43:00, ,17:57:00, ,21:36:00, ,2:45:00, ,6:33:00, ,8:40:00, ,14:32:00, ,19:08:00, ,21:45:00, ,0:51:00
,,,"Ritchie, Sam",,2,2:17:00,2,3:26:00,2,3:14:00,1,3:39:00,1,5:09:00,2,3:48:00,1,2:07:00,2,5:52:00,1,4:36:00,1,2:37:00,2,3:06:00
,,,"Cruz, Daniel",,2,2:17:00,2,5:43:00,2,8:57:00,1,12:36:00,1,17:45:00,1,21:33:00,1,23:40:00,2,29:32:00,1,34:08:00,1,36:45:00,1,39:51:00
,,,"Hammer, Daniel",,,,,,,,,,,,,,,,,,,,,,,
,,,"Russell, William",,,,,,,,,,,,,,,,,,,,,,,
,,,"Stephens, Andrew",,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - Wueste, Jeff",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,154,"Jones, Gaston",9:00, ,11:14:00, ,14:37:00, ,17:47:00, ,21:36:00, ,2:52:00, ,6:33:00, ,8:40:00, ,14:31:00, ,19:29:00, ,22:38:00, ,1:54:00
,,,"Mynar, Fred",,1,2:14:00,1,3:23:00,1,3:10:00,2,3:49:00,2,5:16:00,1,3:41:00,1,2:07:00,1,5:51:00,2,4:58:00,2,3:09:00,3,3:16:00
,,,"Feaster, Max",,1,2:14:00,1,5:37:00,1,8:47:00,1,12:36:00,2,17:52:00,1,21:33:00,1,23:40:00,1,29:31:00,2,34:29:00,2,37:38:00,2,40:54:00
,,,"Glock, Jeff",,,,,,,,,,,,,,,,,,,,,,,
,,,"Mynar, Kyle",,,,,,,,,,,,,,,,,,,,,,,
,,,"Mynar, Logan",,,,,,,,,,,,,,,,,,,,,,,
,,,"TC - Mynar, Brian",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1st Tandem Unl,3,"Yonley, Jonathan",9:00, ,11:34:00, ,15:24:00, ,19:02:00, ,23:28:00, ,6:01:00, ,10:15:00, ,12:59:00, ,20:24:00, ,2:38:00, ,6:27:00, ,9:52:00
,,,"Yonley, Tommy",,3,2:34:00,3,3:50:00,3,3:38:00,3,4:26:00,4,6:33:00,3,4:14:00,6,2:44:00,5,7:25:00,5,6:14:00,7,3:49:00,4,3:25:00
,,,"TC - Kittle, Abby",,3,2:34:00,3,6:24:00,3,10:02:00,3,14:28:00,3,21:01:00,3,25:15:00,3,27:59:00,3,35:24:00,3,41:38:00,3,45:27:00,3,48:52:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3rd Unlimited,260,"Wyatt, Clay",9:00, ,11:44:00, ,15:41:00, ,19:26:00, ,23:55:00, ,6:47:00, ,11:07:00, ,13:44:00, ,21:07:00, ,3:14:00, ,7:19:00, ,11:13:00
,,,"Prochaska, Sammy",,6,2:44:00,5,3:57:00,4,3:45:00,4,4:29:00,5,6:52:00,4,4:20:00,4,2:37:00,4,7:23:00,4,6:07:00,10,4:05:00,9,3:54:00
